INFO	 [::1]:58343 HTTP/1.1 GET /x/js/dataManager.js
INFO	 [::1]:58340 HTTP/1.1 POST /save/player
INFO	 [::1]:58340 HTTP/1.1 GET /x/html/espace_game.html
INFO	 [::1]:58340 HTTP/1.1 GET /x/css/espace_game.css
INFO	 [::1]:58339 HTTP/1.1 GET /x/lib/jquery/jquery-3.3.1.min.js
INFO	 [::1]:58340 HTTP/1.1 GET /x/lib/bootstrap/bootstrap-3.4.1.min.css
INFO	 [::1]:58343 HTTP/1.1 GET /x/lib/datatable/datatables.min.js
INFO	 [::1]:58341 HTTP/1.1 GET /x/lib/datatable/datatables.min.css
INFO	 [::1]:58342 HTTP/1.1 GET /x/lib/awesome-functions/awesome-functions.min.js
INFO	 [::1]:58348 HTTP/1.1 GET /x/lib/bootstrap/bootstrap-3.4.1.min.js
INFO	 [::1]:58339 HTTP/1.1 GET /x/model/Game.js
INFO	 [::1]:58341 HTTP/1.1 GET /x/model/Position.js
INFO	 [::1]:58340 HTTP/1.1 GET /x/model/Rectangle.js
INFO	 [::1]:58348 HTTP/1.1 GET /x/model/Canvas.js
INFO	 [::1]:58339 HTTP/1.1 GET /x/js/gameManager.js
INFO	 [::1]:58343 HTTP/1.1 POST /save/player
INFO	 [::1]:58343 HTTP/1.1 POST /save/player
INFO	 [::1]:58343 HTTP/1.1 POST /save/player
INFO	 [::1]:58343 HTTP/1.1 POST /save/player
INFO	 [::1]:58343 HTTP/1.1 GET /x/espace_login.html
Starting server on :4000 
INFO	 [::1]:59065 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:59065 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:59174 HTTP/1.1 GET /x/lib/jquery/jquery-3.4.1.min.js
INFO	 [::1]:59065 HTTP/1.1 GET /x/css/espace_login.css
INFO	 [::1]:59175 HTTP/1.1 GET /x/config/conf.js
INFO	 [::1]:59176 HTTP/1.1 GET /x/model/Player.js
INFO	 [::1]:59177 HTTP/1.1 GET /x/js/dataManager.js
INFO	 [::1]:59174 HTTP/1.1 POST /save/player
INFO	 [::1]:59174 HTTP/1.1 GET /x/html/espace_game.html
INFO	 [::1]:59174 HTTP/1.1 GET /x/css/espace_game.css
INFO	 [::1]:59065 HTTP/1.1 GET /x/lib/jquery/jquery-3.3.1.min.js
INFO	 [::1]:59174 HTTP/1.1 GET /x/lib/bootstrap/bootstrap-3.4.1.min.css
INFO	 [::1]:59176 HTTP/1.1 GET /x/lib/datatable/datatables.min.js
INFO	 [::1]:59177 HTTP/1.1 GET /x/lib/datatable/datatables.min.css
INFO	 [::1]:59175 HTTP/1.1 GET /x/lib/awesome-functions/awesome-functions.min.js
INFO	 [::1]:59227 HTTP/1.1 GET /x/css/espace_login.css
INFO	 [::1]:59227 HTTP/1.1 GET /x/lib/bootstrap/bootstrap-3.4.1.min.js
INFO	 [::1]:59065 HTTP/1.1 GET /x/model/Game.js
INFO	 [::1]:59174 HTTP/1.1 GET /x/model/Position.js
INFO	 [::1]:59177 HTTP/1.1 GET /x/model/Rectangle.js
INFO	 [::1]:59065 HTTP/1.1 GET /x/model/Canvas.js
INFO	 [::1]:59174 HTTP/1.1 GET /x/js/gameManager.js
Starting server on :4000 
INFO	 [::1]:60043 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:60043 HTTP/1.1 GET /x/css/espace_login.css
INFO	 [::1]:60044 HTTP/1.1 GET /x/lib/jquery/jquery-3.4.1.min.js
INFO	 [::1]:60047 HTTP/1.1 GET /x/config/conf.js
INFO	 [::1]:60048 HTTP/1.1 GET /x/model/Player.js
INFO	 [::1]:60049 HTTP/1.1 GET /x/js/dataManager.js
INFO	 [::1]:60044 HTTP/1.1 POST /save/player
INFO	 [::1]:60044 HTTP/1.1 GET /x/html/espace_game.html
INFO	 [::1]:60044 HTTP/1.1 GET /x/css/espace_game.css
INFO	 [::1]:60049 HTTP/1.1 GET /x/lib/jquery/jquery-3.3.1.min.js
INFO	 [::1]:60049 HTTP/1.1 GET /x/lib/bootstrap/bootstrap-3.4.1.min.css
INFO	 [::1]:60048 HTTP/1.1 GET /x/lib/datatable/datatables.min.js
INFO	 [::1]:60044 HTTP/1.1 GET /x/lib/datatable/datatables.min.css
INFO	 [::1]:60047 HTTP/1.1 GET /x/lib/awesome-functions/awesome-functions.min.js
INFO	 [::1]:60043 HTTP/1.1 GET /x/lib/bootstrap/bootstrap-3.4.1.min.js
INFO	 [::1]:60051 HTTP/1.1 GET /x/model/Game.js
INFO	 [::1]:60049 HTTP/1.1 GET /x/model/Position.js
INFO	 [::1]:60044 HTTP/1.1 GET /x/model/Rectangle.js
INFO	 [::1]:60051 HTTP/1.1 GET /x/model/Canvas.js
INFO	 [::1]:60043 HTTP/1.1 GET /x/js/gameManager.js
Starting server on :4000 
INFO	 [::1]:60077 HTTP/1.1 GET /x/espace_login.html
INFO	 [::1]:60077 HTTP/1.1 GET /x/css/espace_login.css
INFO	 [::1]:60078 HTTP/1.1 GET /x/lib/jquery/jquery-3.4.1.min.js
INFO	 [::1]:60079 HTTP/1.1 GET /x/config/conf.js
INFO	 [::1]:60081 HTTP/1.1 GET /x/js/dataManager.js
INFO	 [::1]:60080 HTTP/1.1 GET /x/model/Player.js
INFO	 [::1]:60078 HTTP/1.1 POST /save/player
INFO	 [::1]:60078 HTTP/1.1 GET /x/html/espace_game.html
INFO	 [::1]:60078 HTTP/1.1 GET /x/css/espace_game.css
INFO	 [::1]:60077 HTTP/1.1 GET /x/lib/awesome-functions/awesome-functions.min.js
INFO	 [::1]:60078 HTTP/1.1 GET /x/model/Game.js
INFO	 [::1]:60080 HTTP/1.1 GET /x/model/Position.js
INFO	 [::1]:60079 HTTP/1.1 GET /x/model/Rectangle.js
INFO	 [::1]:60081 HTTP/1.1 GET /x/js/gameManager.js
INFO	 [::1]:60077 HTTP/1.1 GET /x/model/Canvas.js
INFO	 [::1]:60081 HTTP/1.1 GET /x/css/espace_game.css
Starting server on :4000 
INFO	 [::1]:61657 HTTP/1.1 GET /x/espace_login.html
